0;0;0;0;land;false;unknown;0
1;233;200;69;land;true;desert;1
2;227;199;78;land;true;desert;2
3;72;200;237;land;false;marsh;6
4;215;192;175;land;false;marsh;1
5;154;183;253;land;true;hills;6
6;226;253;52;land;false;desert;1
7;200;254;95;land;false;marsh;5
8;178;163;194;land;false;marsh;1
9;254;48;208;land;false;desert;1
10;242;162;188;land;false;hills;4
11;143;182;223;land;false;urban;1
12;201;243;71;land;false;desert;4
13;232;107;180;land;false;forest;3
14;171;221;116;land;false;plains;1
15;117;231;189;land;false;plains;1
16;58;250;197;land;false;plains;6
17;180;196;222;land;false;plains;4
18;216;227;113;land;false;mountain;1
19;244;98;203;land;true;plains;1
20;168;171;218;land;false;mountain;6
21;221;225;245;land;false;desert;4
22;235;133;173;land;false;desert;3
23;118;142;242;land;true;mountain;3
24;217;182;230;land;false;forest;6
25;202;206;116;land;false;plains;4
26;182;240;249;land;false;marsh;1
27;91;222;202;land;false;mountain;4
28;189;164;204;land;false;forest;4
29;213;155;135;land;false;plains;1
30;221;245;171;land;false;plains;3
31;222;181;158;land;false;forest;1
32;229;171;189;land;false;mountain;4
33;190;243;188;land;false;desert;1
34;246;117;195;land;false;plains;6
35;221;229;172;land;false;forest;1
36;253;254;134;land;false;underwater;2
37;235;99;208;land;false;forest;4
38;175;155;223;land;false;mountain;4
39;176;211;117;land;false;desert;4
40;175;248;144;land;false;desert;1
41;105;201;232;land;false;forest;6
42;216;232;105;land;false;desert;5
43;93;236;209;land;false;forest;4
44;222;144;171;land;false;plains;4
45;202;124;179;land;false;desert;6
46;238;108;199;land;false;marsh;1
47;202;245;165;land;false;urban;4
48;214;217;171;land;true;desert;4
49;241;187;226;land;true;marsh;6
50;252;218;45;land;false;jungle;4
51;143;211;166;land;true;marsh;1
52;119;244;244;land;true;desert;4
53;112;241;172;land;true;desert;4
54;242;212;93;land;true;forest;2
55;177;249;209;land;false;urban;1
56;237;85;190;land;false;urban;5
57;144;170;204;land;false;urban;1
58;222;92;242;land;false;desert;4
59;251;126;229;land;false;marsh;5
60;239;223;178;land;false;desert;4
61;239;122;203;land;true;forest;1
62;174;134;199;land;false;marsh;5
63;141;248;131;land;false;urban;4
64;171;248;148;land;false;marsh;5
65;244;30;228;land;false;desert;1
66;232;174;143;land;false;desert;4
67;195;154;173;land;true;mountain;4
68;188;195;145;land;false;desert;4
69;160;192;155;land;false;plains;4
70;200;190;177;land;true;forest;4
71;245;211;200;land;false;forest;1
72;102;201;217;land;false;desert;4
73;202;189;232;land;true;plains;4
74;181;169;183;land;false;desert;4
75;233;104;196;land;true;urban;1
76;214;238;183;land;false;plains;1
77;232;223;248;land;false;plains;4
78;86;247;215;land;false;desert;2
79;131;245;139;land;true;desert;4
80;149;153;201;land;false;hills;6
81;179;92;249;land;false;desert;4
82;254;169;177;land;false;underwater;4
83;252;145;246;land;false;hills;1
84;251;149;220;land;false;desert;5
85;225;241;71;land;false;marsh;1
86;202;120;206;land;true;underwater;2
