1;arms_factory;2339.00;12.45;3297.00;2.40;0
1;arms_factory;2357.00;12.55;3297.00;5.07;0
1;arms_factory;2347.00;10.55;3302.00;1.45;0
1;arms_factory;2354.00;17.15;3279.00;4.47;0
1;arms_factory;2345.00;11.82;3299.00;0.85;0
1;arms_factory;2325.00;15.12;3284.00;3.51;0
1;industrial_complex;2350.00;12.40;3298.00;1.35;0
1;industrial_complex;2331.00;14.25;3290.00;1.46;0
1;industrial_complex;2334.00;15.50;3286.00;5.58;0
1;industrial_complex;2359.00;16.45;3282.00;1.96;0
1;industrial_complex;2353.00;14.95;3290.00;6.08;0
1;industrial_complex;2349.00;15.50;3287.00;6.18;0
1;air_base;2359.00;14.60;3290.00;4.02;0
1;supply_node;2337.00;12.88;3296.00;0.98;0
1;supply_node;2362.00;16.12;3283.00;5.02;0
1;supply_node;2359.00;11.65;3299.00;1.67;0
1;supply_node;2331.00;16.60;3278.00;3.15;0
1;supply_node;2346.00;11.50;3300.00;0.91;0
1;supply_node;2350.00;15.95;3285.00;2.39;0
1;supply_node;2331.00;11.25;3298.00;5.32;0
1;supply_node;2367.00;12.28;3296.00;1.63;0
1;supply_node;2322.00;11.23;3295.00;4.56;0
1;supply_node;2351.00;13.05;3296.00;1.21;0
1;supply_node;2327.00;13.62;3291.00;3.80;0
1;supply_node;2359.00;14.00;3292.00;0.45;0
1;supply_node;2343.00;14.48;3291.00;1.93;0
1;supply_node;2334.00;15.30;3287.00;5.97;0
1;supply_node;2323.00;14.80;3285.00;2.63;0
1;supply_node;2341.00;16.18;3283.00;4.10;0
1;supply_node;2355.00;17.40;3277.00;1.86;0
1;naval_base;2352.00;10.15;3303.00;-3.46;18142
1;naval_base;2362.00;10.55;3301.00;-3.14;18142
1;naval_base;2365.00;10.20;3301.00;-3.61;18142
1;naval_base;2330.00;10.28;3300.00;-3.46;18142
1;naval_base;2339.00;10.20;3302.00;-3.31;18142
1;naval_base;2319.00;10.23;3296.00;-3.14;18142
1;bunker;2324.00;14.32;3287.00;5.81;0
1;bunker;2356.00;16.45;3282.00;2.54;0
1;bunker;2348.00;15.00;3290.00;5.21;0
1;bunker;2355.00;11.35;3300.00;1.59;0
1;bunker;2356.00;13.40;3294.00;4.25;0
1;bunker;2347.00;11.00;3301.00;0.99;0
1;bunker;2360.00;12.35;3297.00;3.66;0
1;bunker;2332.00;13.18;3294.00;0.04;0
1;bunker;2367.00;12.28;3296.00;2.70;0
1;bunker;2342.00;16.10;3284.00;5.72;0
1;bunker;2331.00;14.55;3289.00;0.64;0
1;bunker;2330.00;15.85;3283.00;4.76;0
1;bunker;2345.00;15.15;3289.00;2.61;0
